Entity,Year,gdp_growth,gdp_per_capita,Electricity from renewables (TWh),Capacity(MW),Investment(USDmn)
Canada,2015,0.659176864,43596.13554,417.2,95438.5,0.0
Canada,2016,1.001394414,42315.60371,426.84,17992.5,0.0
Canada,2017,3.039880225,45129.35644,435.43,15457.5,0.0
Canada,2018,2.777040554,46548.52036,428.39,97088.5,0.0
Canada,2019,1.879592028,46338.34096,421.8,100373.5,0.0
Canada,2020,-5.233024303,43294.64816,429.24,100564.4,0.0
Chad,2011,0.082869798,984.7361305,0.01,2.0,0.0
Chad,2012,8.882576072,967.3529488,0.0,2.0,0.0
Chad,2013,5.700001363,979.8117426,0.0,2.5,0.03
Chad,2014,6.899985045,1020.287979,0.0,2.5,0.02
Chad,2015,2.767675685,776.0197523,0.0,2.17,0.02
Chad,2016,-6.255527085,693.4497674,0.01,3.27,41.33
Chad,2017,-2.988695986,665.9488849,0.01,3.27,0.0
Chad,2018,2.3740378,726.1510071,0.01,3.29,0.0
Chad,2019,3.247181917,709.5400432,0.01,3.29,10.0
Chad,2020,-0.947304885,659.270045,0.01,3.33,0.41
Chile,2011,6.110918829,14637.23344,21.04,6697.77,68.53
Chile,2012,5.318628,15351.54074,20.59,6875.77,1004.29
Chile,2013,4.045004298,15842.93648,20.17,891.77,1352.65
Chile,2014,1.766739784,14670.98891,25.44,8328.77,1263.79
Chile,2015,2.303767036,13574.16924,27.38,7632.77,113.31
Chile,2016,1.711089289,13753.59215,24.27,8029.77,300.13
Chile,2017,1.184544707,14998.81706,29.32,7129.62,209.26
Chile,2018,3.713859177,15888.14436,32.89,10586.56,0.0
Chile,2019,0.942005307,14741.7144,32.23,9987.15,0.0
Chile,2020,-5.771501669,13231.70421,34.06,9635.25,0.94
China,2011,9.550832179,5614.352135,792.38,219514.26,43.04
China,2012,7.863736449,6300.615118,999.56,295667.03,100.64
China,2013,7.766150098,7020.338485,1093.37,40439.27,301.71
China,2014,7.425763656,7636.116601,1289.23,45227.95,229.42
China,2015,7.041328879,8016.431435,1393.66,24936.59,92.0
China,2016,6.848762205,8094.363367,1522.79,162753.68,1271.88
China,2017,6.947200793,8816.986905,1667.06,493811.52,372.49
China,2018,6.749773832,9905.342004,1835.32,529447.71,318.26
China,2019,5.949714233,10143.83817,2014.57,49957.03,201.54
China,2020,2.347513573,10434.77519,2184.94,97389.11,13.64
Colombia,2011,6.947891982,7335.166934,48.81,9756.33,0.78
Colombia,2012,3.912635767,8050.255372,47.58,9980.34,1.84
Colombia,2013,5.13399352,8218.347844,50.48,10081.9,0.32
Colombia,2014,4.499030001,8114.343921,48.06,426.94,55.29
Colombia,2015,2.955901375,6175.87603,49.0,1408.3,23.22
Colombia,2016,2.087382502,5870.777957,49.54,1442.11,1454.76
Colombia,2017,1.359360868,6376.706716,61.39,11801.31,184.77
Colombia,2018,2.564324283,6729.583332,60.08,12269.43,144.25
Colombia,2019,3.281116805,6424.979492,54.31,12358.53,152.5
Colombia,2020,-6.795758107,5334.556042,49.97,1753.07,0.0
Comoros,2011,4.099846955,1447.945144,0.0,1.45,0.0
Comoros,2012,3.200272903,1403.360252,0.0,1.45,0.3
Comoros,2013,4.499874215,1505.337292,0.0,1.45,0.02
Comoros,2014,2.100006438,1513.830379,0.0,1.45,0.12
Comoros,2015,1.116140583,1242.585608,0.0,1.45,0.97
Comoros,2016,3.320680025,1273.050952,0.0,1.45,0.01
Comoros,2017,3.815702113,1323.814843,0.0,1.45,11.18
Comoros,2018,3.642525019,1428.290463,0.0,1.45,0.0
Comoros,2019,1.75532828,1401.542312,0.0,1.45,15.99
Comoros,2020,-0.128835488,1420.661747,0.0,1.45,0.0
Congo,2011,-0.128835488,1420.661747,0.79,86.9,0.0
Congo,2012,-0.128835488,1420.661747,1.0,206.32,114.95
Congo,2013,-0.128835488,1420.661747,0.98,206.43,1.88
Congo,2014,-0.128835488,1420.661747,0.96,206.66,0.0
Congo,2015,-0.128835488,1420.661747,1.14,206.66,0.0
Congo,2016,-0.128835488,1420.661747,1.17,15.16,0.09
Congo,2017,-0.128835488,1420.661747,1.24,226.67,0.0
Congo,2018,-0.128835488,1420.661747,1.15,226.82,20.63
Congo,2019,-0.128835488,1420.661747,0.94,226.82,0.09
Congo,2020,-0.128835488,1420.661747,0.96,226.82,0.0
Cuba,2011,2.802300836,6139.718783,1.74,620.65,1.31
Cuba,2012,3.014900289,6497.314764,1.82,593.85,0.41
Cuba,2013,2.747602563,6837.71168,1.77,555.15,3.1
Cuba,2014,1.047576632,7133.337679,1.8,595.51,0.04
Cuba,2015,4.438141959,7694.014637,1.85,628.71,76.78
Cuba,2016,0.513761468,8060.796598,1.74,610.01,31.02
Cuba,2017,1.809054399,8541.213686,1.82,675.48,110.99
Cuba,2018,2.248480393,8824.194008,2.0,758.2,7.21
Cuba,2019,-0.164839982,9125.878679,2.99,1022.01,5.67
