Entity,Year,gdp_growth,gdp_per_capita,Electricity from renewables (TWh),Capacity(MW),Investment(USDmn)
Norway,2016,1.071558977,70460.56053,145.16,4967.9,75.27
Norway,2017,2.323290208,75496.75406,145.48,3740.1,41.16
Norway,2018,1.118828479,82267.80932,143.06,3534.6,213.64
Norway,2019,0.745798219,75719.7529,131.07,34642.7,79.08
Norway,2020,-0.717182669,67329.67779,152.09,35943.4,146.43
Pakistan,2011,2.748405917,1164.978823,29.37,7024.4,329.48
Pakistan,2012,3.50703342,1198.117637,30.7,7140.97,1387.09
Pakistan,2013,4.396456633,1208.91771,33.26,1073.63,244.72
Pakistan,2014,4.674707981,1251.175719,34.48,1252.93,552.09
Pakistan,2015,4.731147475,1356.667831,36.82,1374.28,1225.17
Pakistan,2016,5.526735845,1368.426961,35.64,8270.63,903.84
Pakistan,2017,5.554277437,1464.926195,32.39,9217.12,3388.07
Pakistan,2018,5.836417498,1482.213067,42.66,12196.24,99.11
Pakistan,2019,1.144749605,1288.556325,40.52,11659.44,297.84
Pakistan,2020,-0.935389533,1188.859757,42.69,12406.39,0.31
Panama,2011,11.31362625,9358.26813,4.14,1382.25,66.11
Panama,2012,9.778827513,10722.26147,5.42,1499.6,0.0
Panama,2013,6.903436769,11889.09507,5.2,1502.82,1.81
Panama,2014,5.06661313,12796.07403,5.19,1687.82,184.49
Panama,2015,5.73269026,13630.30114,6.69,2053.02,65.06
Panama,2016,4.953434937,14343.98026,7.24,1920.81,366.66
Panama,2017,5.591328274,15146.40851,7.9,1983.61,101.57
Panama,2018,3.685344349,15544.99908,8.74,2028.91,0.35
Panama,2019,2.979715461,15774.25494,6.24,2053.2,90.01
Panama,2020,-17.944864,12509.83529,8.35,2053.2,0.0
Paraguay,2011,4.286371207,5329.387437,57.05,881.52,0.03
Paraguay,2012,-0.708043112,5185.141549,59.63,881.52,0.0
Paraguay,2013,8.293076489,5936.975959,59.87,921.02,0.08
Paraguay,2014,5.301238592,6118.31811,54.83,921.02,0.0
Paraguay,2015,2.957151735,5413.776021,55.3,921.02,0.0
Paraguay,2016,4.268025833,5324.609068,63.3,921.02,0.46
Paraguay,2017,4.810078856,5678.869972,59.23,921.02,0.0
Paraguay,2018,3.204250341,5782.78455,58.75,921.02,130.47
Paraguay,2019,-0.401855101,5380.963322,48.99,903.77,1.16
Paraguay,2020,-0.565695447,5001.07276,46.43,903.77,390.4
Peru,2011,6.327192402,5869.323882,21.85,3539.24,223.97
Peru,2012,6.139724706,6528.971775,21.69,3626.17,238.87
Peru,2013,5.852518211,6756.752996,22.85,3615.53,292.66
Peru,2014,2.382157372,6672.877373,23.06,3999.18,279.43
Peru,2015,3.252244772,6229.100674,24.86,642.16,84.64
Peru,2016,3.953318715,6204.996457,25.95,1050.5,102.31
Peru,2017,2.518835442,6710.507602,30.84,1379.56,548.98
Peru,2018,3.96915687,6957.793411,33.28,1425.24,68.75
Peru,2019,2.203974749,7027.612207,34.41,6401.28,1.08
Peru,2020,-11.14881188,6126.87454,33.72,6432.46,22.52
Qatar,2011,13.37517641,82409.94165,0.01,11.67,0.0
Qatar,2012,4.730011844,85075.98654,0.01,11.67,0.0
Qatar,2013,5.556040643,85050.68434,0.01,13.29,0.0
Qatar,2014,5.334323292,83858.34046,0.02,14.97,0.0
Qatar,2015,4.753345724,63039.11263,0.03,14.97,0.0
Qatar,2016,3.064191884,57162.96801,0.03,16.1,0.0
Qatar,2017,-1.497604702,59124.86727,0.03,16.1,0.0
Qatar,2018,1.234872202,65907.94844,0.02,16.1,0.0
Qatar,2019,0.68824096,62276.42869,0.03,16.1,0.0
Qatar,2020,-3.557603999,50124.38594,0.02,16.1,160.04
Samoa,2011,4.103640825,3932.105847,0.05,12.61,0.0
Samoa,2012,-4.084494013,4020.959844,0.04,8.97,0.0
Samoa,2013,-0.342327336,4037.813829,0.03,9.12,4.71
Samoa,2014,0.052170614,3937.186246,0.03,13.32,32.47
Samoa,2015,4.296880765,4071.926959,0.04,14.29,0.01
Samoa,2016,8.126249353,4109.663228,0.05,16.74,0.0
Samoa,2017,1.042433719,4258.978767,0.05,26.61,2.05
Samoa,2018,-1.233162407,4187.504729,0.06,26.77,0.0
Samoa,2019,4.379825545,4322.868457,0.06,28.76,0.0
Samoa,2020,-2.5926083,4067.843459,0.06,28.76,0.0
Thailand,2011,0.840132083,5492.1215,11.83,1983.0,288.27
Thailand,2012,7.242796202,5860.581471,13.42,3934.0,119.37
Thailand,2013,2.687495563,6168.261356,12.33,6700.9,54.65
Thailand,2014,0.984468864,5951.883487,13.68,7405.7,4.37
Thailand,2015,3.134047249,5840.053067,13.33,6438.2,55.52
Thailand,2016,3.435157717,5993.305516,15.97,8992.16,0.43
Thailand,2017,4.177681032,6593.818352,19.92,10243.23,1.99
Thailand,2018,4.189585496,7296.879608,25.84,9933.94,296.13
Thailand,2019,2.266433672,7817.009671,28.02,7437.98,99.16
Thailand,2020,-6.098983843,7186.874092,24.73,7491.3,0.0
Tonga,2011,6.818276144,4002.813771,0.0,0.12,12.1
Tonga,2012,0.823102718,4581.783245,0.0,1.13,7.94
Tonga,2013,0.312307909,4428.146521,0.0,1.75,17.55
Tonga,2014,2.01870046,4354.24436,0.0,1.75,2.51
Tonga,2015,1.171888256,4336.239603,0.0,2.88,14.14
Tonga,2016,6.571000501,4157.877249,0.0,3.44,2.92
Tonga,2017,3.322432544,4513.432531,0.01,6.43,20.47
Tonga,2018,0.300009404,4740.700272,0.01,6.45,37.0
Tonga,2019,0.734030017,4903.012138,0.01,7.75,2.45
Tonga,2020,0.654698596,4624.823449,0.01,7.75,0.0
Vanuatu,2011,3.137874086,3173.822022,0.01,8.9,0.0
Vanuatu,2012,1.010029914,2997.293432,0.01,8.13,3.05
Vanuatu,2013,0.468608459,2954.774511,0.02,8.33,4.76
Vanuatu,2014,3.12624625,2926.67996,0.02,8.96,8.54
Vanuatu,2015,0.371578452,2695.666186,0.02,8.71,7.27
Vanuatu,2016,4.688677823,2805.66532,0.02,10.03,0.0
Vanuatu,2017,6.315604199,3082.475083,0.01,10.65,17.77
Vanuatu,2018,2.900230273,3125.404999,0.02,12.18,1.79
Vanuatu,2019,3.912534737,3116.297759,0.02,12.4,0.15
Vanuatu,2020,-6.813991132,2870.0893,0.02,12.35,0.77
Maldives,2011,-6.248748224,1214.50982,4.19,1.68,0.01
Maldives,2012,-6.248748224,1214.50982,4.19,2.82,0.03
Maldives,2013,-6.248748224,1214.50982,4.19,3.25,0.0
Maldives,2014,-6.248748224,1214.50982,4.19,5.54,42.59
Maldives,2015,-6.248748224,1214.50982,4.19,5.55,6.21
Maldives,2016,-6.248748224,1214.50982,4.19,8.24,0.01
Maldives,2017,-6.248748224,1214.50982,4.19,10.94,0.02
Maldives,2018,-6.248748224,1214.50982,4.19,10.94,5.69
Maldives,2019,-6.248748224,1214.50982,4.19,14.81,4.02
Maldives,2020,-6.248748224,1214.50982,4.19,16.81,0.0
Marshall Islands,2011,-6.248748224,1214.50982,4.19,0.86,0.16
Marshall Islands,2012,-6.248748224,1214.50982,4.19,0.48,0.02
Marshall Islands,2013,-6.248748224,1214.50982,4.19,0.66,1.27
Marshall Islands,2014,-6.248748224,1214.50982,4.19,1.01,0.01
Marshall Islands,2015,-6.248748224,1214.50982,4.19,1.01,4.14
Marshall Islands,2016,-6.248748224,1214.50982,4.19,1.61,0.26
Marshall Islands,2017,-6.248748224,1214.50982,4.19,1.61,41.65
Marshall Islands,2018,-6.248748224,1214.50982,4.19,1.63,0.0
Marshall Islands,2019,-6.248748224,1214.50982,4.19,1.63,0.0
Marshall Islands,2020,-6.248748224,1214.50982,4.19,1.63,0.0
Palau,2011,-6.248748224,1214.50982,4.19,0.58,0.0
Palau,2012,-6.248748224,1214.50982,4.19,0.67,0.0
Palau,2013,-6.248748224,1214.50982,4.19,0.75,0.01
Palau,2014,-6.248748224,1214.50982,4.19,0.91,0.0
Palau,2015,-6.248748224,1214.50982,4.19,0.91,5.19
Palau,2016,-6.248748224,1214.50982,4.19,1.28,0.01
Palau,2017,-6.248748224,1214.50982,4.19,1.28,0.0
Palau,2018,-6.248748224,1214.50982,4.19,1.68,0.0
Palau,2019,-6.248748224,1214.50982,4.19,1.75,1.15
Palau,2020,-6.248748224,1214.50982,4.19,1.75,0.0
United States of America,2011,-6.248748224,1214.50982,4.19,67784.0,117.63
United States of America,2012,-6.248748224,1214.50982,4.19,31351.5,22.01
United States of America,2013,-6.248748224,1214.50982,4.19,105472.9,35.06
United States of America,2014,-6.248748224,1214.50982,4.19,116303.1,0.0
United States of America,2015,-6.248748224,1214.50982,4.19,120479.3,0.0
United States of America,2016,-6.248748224,1214.50982,4.19,215087.4,0.0
United States of America,2017,-6.248748224,1214.50982,4.19,229676.9,0.0
United States of America,2018,-6.248748224,1214.50982,4.19,244873.0,0.0
United States of America,2019,-6.248748224,1214.50982,4.19,52393.5,0.0
United States of America,2020,-6.248748224,1214.50982,4.19,282922.7,0.0
