country,Year,RP,MP,TP,REI,Prediction
Algeria,2012,1.23999752000496,20.0,0.9999999960411718,7.41333250534871,Past
Algeria,2013,0.5322572060367644,0.9999989361713445,0.9999999960411718,0.8440853794164269,Past
Algeria,2014,0.7575734618986003,0.9893606496163303,1.009105300834896,0.9186798041166089,Past
Algeria,2015,0.87999648001408,0.9569882182922383,1.1883091361776807,1.008431278161333,Past
Algeria,2016,1.5454475206930878,0.17977507890440575,1.56124132861921,1.0954879760722345,Past
Algeria,2017,1.882347404860574,0.06249960937744161,0.5459928091647435,0.8302799411342531,Past
Algeria,2018,1.2187480957061003,4.999500049994986,2.6219984406584107,2.946748862119833,Past
Algeria,2019,1.0769216962542354,1.1999760004799902,0.9999999985228951,1.0922992317523736,Past
Algeria,2020,0.8571418367359086,5.78231521466911e-16,0.9999999985228951,0.6190472784196014,Past
Algeria,2021,0.7172909932227978,-20.0,1.635279482193734,-5.88247650819449,Forecast
Algeria,2022,0.9478664871113887,2.02969166249641,1.0228007230642495,1.3334529575573493,Forecast
Algeria,2023,1.0847867021269253,1.5063093549757942,1.0900468002383514,1.22704761911369,Forecast
Algeria,2024,1.5077489846173544,1.336174815685622,1.4321169078079214,1.4253469027036327,Forecast
Algeria,2025,1.255331226741946,1.2515939946345003,0.9670200383016297,1.1579817532260253,Forecast
Algeria,2026,1.092809462375196,1.2010199263433936,1.2067574956618852,1.1668622947934917,Forecast
Algeria,2027,0.9550467781910532,1.1673749885580058,1.2204379277761117,1.1142865648417235,Forecast
Algeria,2028,0.7981146611117418,1.1433777034493025,1.0152719059712072,0.9855880901774171,Forecast
Algeria,2029,0.9041896608713136,1.1253987369364655,1.1798043440222117,1.0697975806099969,Forecast
Algeria,2030,0.9948232890358814,1.1114263384674001,1.1590825014288517,1.0884440429773778,Forecast
Botswana,2012,0.0,5.7499281258984265,9.529355709672297,5.093094611856908,Past
Botswana,2013,0.0,0.0,1.0617277396742348,0.35390924655807826,Past
Botswana,2014,0.0,20.0,1.0813947201193488,7.027131573373116,Past
Botswana,2015,0.0,0.0,1.1559133570358295,0.3853044523452765,Past
Botswana,2016,0.0,20.0,1.5255806857764251,7.175193561925475,Past
Botswana,2017,0.0,1.9998000199980004,1.1737801299450823,1.0578600499810276,Past
Botswana,2018,20.0,0.4999750012499375,1.0155841517963242,7.171853051015421,Past
Botswana,2019,0.9999000099990002,0.0,1.5626594468901671,0.8541864856297224,Past
Botswana,2020,0.9999000099990002,0.0,1.0049098191636956,0.6682699430542319,Past
Botswana,2021,1.1823357470201463,-20.0,1.1486942385561343,-5.889656671474572,Forecast
Botswana,2022,1.094783074997558,1.5081502873417725,1.0786397061239152,1.2271910228210818,Forecast
Botswana,2023,1.1074720533949456,1.4973821035459096,1.0920217834703243,1.2322919801370598,Forecast
Botswana,2024,1.0897677241473762,1.2794665671174186,1.0771635067767873,1.1487992660138608,Forecast
Botswana,2025,1.084936446567007,1.2386890515620612,1.0743122292213807,1.1326459091168164,Forecast
Botswana,2026,1.0773707136162274,1.1846498532398286,1.0681608798312823,1.1100604822291127,Forecast
Botswana,2027,1.0721363402063742,1.159210812577593,1.0641955480739451,1.0985142336193041,Forecast
Botswana,2028,1.0671623115615039,1.1359271589103501,1.0601765879107818,1.0877553527942119,Forecast
Botswana,2029,1.0629746559497906,1.1202763740211963,1.0568169770651903,1.080022669012059,Forecast
Botswana,2030,1.0592258275264588,1.1070940292211024,1.0537408256904894,1.0733535608126836,Forecast
Chad,2012,0.0,0.0,0.99999950000025,0.33333316666675,Past
Chad,2013,0.0,20.0,1.2499993750003124,7.083333125000105,Past
Chad,2014,0.0,0.6666444451851605,0.99999960000016,0.5555480150617735,Past
Chad,2015,0.0,0.999950002499875,0.8679996528001388,0.6226498851000045,Past
Chad,2016,20.0,20.0,1.5069117479669363,13.835637249322312,Past
Chad,2017,0.9999000099990002,0.0,0.9999996941896959,0.6666332347295654,Past
Chad,2018,0.9999000099990002,0.0,1.0061159002703668,0.6686719700897891,Past
Chad,2019,0.9999000099990002,20.0,0.9999996960487245,7.333299902015908,Past
Chad,2020,0.9999000099990002,0.040999995900000426,1.0121577470645144,0.6843525843211716,Past
Chad,2021,1.0057533706370292,11.759142782560636,1.057591871266564,4.607496008154743,Forecast
Chad,2022,1.0037802973427983,0.7393846191784921,1.040687411807566,0.9279507761096187,Forecast
Chad,2023,1.0044096622795744,1.2911353539653179,1.0433231386760282,1.1129560516403068,Forecast
Chad,2024,1.0041761940819698,1.0236996557393128,1.0402300318400297,1.0227019605537706,Forecast
Chad,2025,1.0042293334913857,1.1029443682778355,1.0390715993945456,1.0487484337212554,Forecast
Chad,2026,1.0041875753314535,1.0640501394955004,1.0374802106547982,1.0352393084939173,Forecast
Chad,2027,1.0041775175332246,1.0713360269895178,1.036163810889109,1.0372257851372837,Forecast
Chad,2028,1.0041571430892842,1.0623762764004072,1.0348900263194165,1.0338078152697028,Forecast
Chad,2029,1.0041403936596986,1.0603179776521665,1.0337173262917072,1.032725232534524,Forecast
Chad,2030,1.004122639737047,1.0562742864701231,1.0326164361733532,1.0310044541268413,Forecast
Congo,2012,1.2658211825048322,20.0,2.374223217787995,7.88001480009761,Past
Congo,2013,0.97999902000098,0.016354936786820866,1.0005331475352213,0.6656290347743408,Past
Congo,2014,0.979590837152207,-2.3621753916623647e-15,1.0011141742909742,0.6602350038143929,Past
Congo,2015,1.1874987630221217,-4.440892118222149e-09,0.9999999951611342,0.7291662512474546,Past
Congo,2016,1.0263148891974656,20.0,0.07335720471616565,7.033224031304544,Past
Congo,2017,1.059828153993031,-4.934269728670621e-14,14.951845979429688,5.33722471114089,Past
Congo,2018,0.9274186069204783,20.0,1.0006617505595723,7.309360119160018,Past
Congo,2019,0.8173905935733969,0.004362578557315451,0.9999999955912178,0.6072510559073101,Past
Congo,2020,1.021275509281373,-4.1016117119574195e-14,0.9999999955912178,0.6737585016241833,Past
Congo,2021,0.973499068938066,-20.0,1.077196768344101,-5.983101387572611,Forecast
Congo,2022,0.970022054412269,1.240323243172214,1.044463564374068,1.0849362873195172,Forecast
Congo,2023,0.9689346371902213,1.6629850626374667,1.0524555731313847,1.2281250909863577,Forecast
Congo,2024,0.967929258642165,1.1825080789631517,1.0462762369187373,1.065571191508018,Forecast
Congo,2025,0.9668661350286303,1.2943846081017616,1.0455227051595373,1.1022578160966432,Forecast
Congo,2026,0.9657306686881669,1.1445440322098879,1.043071128735565,1.0511152765445397,Forecast
Congo,2027,0.9645146508362776,1.1817710966665143,1.0414634501604054,1.0625830658877324,Forecast
Congo,2028,0.9632091613153678,1.1178455405822436,1.0397504163706532,1.0402683727560882,Forecast
Congo,2029,0.9618039463440897,1.1300716162503643,1.0382534577433964,1.0433763401126168,Forecast
Congo,2030,0.960287125088129,1.0983897280995654,1.036835736386085,1.0318375298579265,Forecast
Comoros,2012,0.0,20.0,0.9999993103453033,6.9999997701151,Past
Comoros,2013,0.0,0.06666644444518526,0.9999993103453033,0.3555552515968295,Past
