is_vectored,array_size,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
vectorized,32,0.164428,0.164926,0.164434,0.164039,0.164697,0.164683,0.163988,0.164307,0.1658,0.167112,0.166492,0.163871,0.165593,0.16531,0.164973,0.16402,0.163565,0.164063,0.165467,0.16332
vectorized,64,0.318347,0.31805,0.316894,0.3155,0.315214,0.317261,0.316988,0.316462,0.319342,0.319147,0.31648,0.315516,0.315542,0.315657,0.317838,0.317535,0.318453,0.319489,0.317297,0.317877
vectorized,128,0.625662,0.625826,0.62783,0.626104,0.627462,0.629086,0.631934,0.637272,0.62758,0.627008,0.627635,0.634195,0.633412,0.630432,0.628565,0.627837,0.628322,0.6322,0.629916,0.632203
vectorized,256,1.26646,1.25944,1.2638,1.26276,1.26201,1.25777,1.26736,1.26948,1.25773,1.25782,1.25597,1.2663,1.26297,1.25638,1.26054,1.27102,1.27597,1.26716,1.25062,1.25182
novectorized,32,0.336545,0.324721,0.32623,0.326486,0.32564,0.327518,0.326516,0.327757,0.326643,0.323478,0.331446,0.327511,0.327292,0.330158,0.327002,0.32825,0.328427,0.328561,0.3286,0.327113
novectorized,64,0.687087,0.680915,0.679321,0.687862,0.681937,0.682683,0.684058,0.680539,0.690385,0.687403,0.685632,0.681896,0.682583,0.683102,0.682483,0.682367,0.685075,0.682065,0.683255,0.682603
novectorized,128,1.50794,1.5051,1.49722,1.50751,1.50063,1.50086,1.49889,1.50001,1.50571,1.5068,1.50404,1.50839,1.53228,1.52496,1.50109,1.50183,1.50226,1.50373,1.4999,1.50344
novectorized,256,2.92646,2.93793,2.93549,2.93006,2.94474,2.90889,2.91554,2.92473,2.93513,2.909,2.92639,2.93648,2.93594,2.92389,2.92836,2.94809,2.92711,2.93818,2.93381,2.92642
